player_id,nombre,liga,eventos_total,tiros,tiros_a_puerta,goles,penales_tirados,penales_metidos,tiros_fuera_area,tiros_fuera_a_puerta,goles_fuera_area,tiros_area_grande,goles_area_grande,tiros_area_pequena,goles_area_pequena,tiros_cabeza,goles_cabeza,tiros_pie_izq,goles_pie_izq,tiros_pie_der,goles_pie_der,tiros_falta_directa,goles_falta_directa,tiros_tras_cruce,goles_tras_cruce,tiros_bloqueados,regates_intentados,regates_exitosos,regates_ultimo_tercio,regates_ultimo_tercio_ok,pases_clave,pases_clave_desde_cruce,pases_asistencia,recuperaciones_total,recuperaciones_ultimo_tercio,recuperaciones_zona_baja,entradas_total,entradas_exitosas,entradas_ultimo_tercio,intercepciones_total,intercepciones_zona_baja,aereos_total,aereos_ganados,distancia_promedio_tiro,acierto_tiros_fuera_pct,puerta_tiros_fuera_pct,pct_goles_desde_fuera,pct_tiros_desde_fuera,pct_tiros_pie_izq,pct_tiros_pie_der,pct_tiros_cabeza,pct_regates_exito,pct_aereos_ganados,pct_entradas_exitosas,xg,g_menos_xg
3ye0empdjbf7x9bgyjbfiy609,S. Tanasijević,MLS,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,22,0,18,8,5,0,6,6,22,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,54.5,62.5,0.0,0.0
5iy3sz4b3mokizd2qlcskl5d6,J. Pérez,MLS,643,16,12,1,1,0,6,3,0,9,1,1,0,0,0,5,0,2,1,2,0,3,0,11,42,18,17,8,14,0,0,41,3,30,12,9,1,5,5,13,2,15.1,0.0,50.0,0.0,37.5,31.2,12.5,0.0,42.9,15.4,75.0,2.43,-1.43
5jcp1ep5ymujujceq7v0ai579,J. Ayoví,Ecuador,643,16,11,5,0,0,2,2,0,13,5,1,0,5,1,5,3,2,0,2,2,6,2,8,14,5,6,1,13,0,0,27,1,10,10,4,1,2,1,55,14,19.3,0.0,100.0,0.0,12.5,31.2,12.5,31.2,35.7,25.5,40.0,2.0,3.0
59oc9127az1qzzcegyyka02dw,D. Calcaterra,Argentina,642,7,3,0,1,0,2,0,0,5,0,0,0,3,0,2,0,2,0,0,0,5,0,4,2,0,1,0,10,0,0,43,0,39,19,10,0,10,8,38,26,47.2,0.0,0.0,0.0,28.6,28.6,28.6,42.9,0.0,68.4,52.6,1.51,-1.51
45pb90gp1rl74bnvav530nasq,Rômulo,Liga MX,641,2,2,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,3,0,0,0,4,0,0,20,0,18,22,16,1,13,10,23,12,19.0,0.0,100.0,0.0,50.0,50.0,50.0,0.0,0.0,52.2,72.7,0.17,-0.17
6f0j5frd9t0q2xv2fdd85359m,S. Rodríguez,Colombia,641,6,6,1,1,0,0,0,0,3,0,3,1,5,0,0,0,0,0,0,0,6,1,5,4,2,0,0,2,0,0,26,0,24,6,6,0,13,11,29,20,23.3,0.0,0.0,0.0,0.0,0.0,0.0,83.3,50.0,69.0,100.0,1.91,-0.91
8ouxbuez9ijfipps2t9smob85,L. Navarro,Chile,641,12,6,1,0,0,10,6,1,2,0,0,0,1,0,1,0,10,1,0,0,2,0,6,9,6,0,0,1,0,0,40,1,30,8,5,0,3,3,17,10,29.3,10.0,60.0,100.0,83.3,8.3,83.3,8.3,66.7,58.8,62.5,0.66,0.34
d0c51nxbxe1wdly784508ve21,W. Sands,MLS,640,4,2,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,4,0,3,6,2,3,1,4,0,0,26,1,23,14,7,0,9,8,22,12,18.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,33.3,54.5,50.0,0.63,-0.63
3p8nl1b1bcyl0lojv2ss6f2ll,Á. Meléndez,Colombia,640,16,11,2,2,0,5,4,0,9,2,2,0,1,0,1,0,11,2,2,1,3,1,9,14,3,7,2,23,0,0,23,3,15,12,9,2,0,0,24,6,21.4,0.0,80.0,0.0,31.2,6.2,68.8,6.2,21.4,25.0,75.0,3.43,-1.43
cq8t0g2zcwhx221bnqh650hcl,Rafael Vitor,Brasil B,639,4,2,0,0,0,1,0,0,3,0,0,0,1,0,1,0,2,0,0,0,2,0,2,4,2,0,0,0,0,0,28,0,27,7,4,0,7,6,35,19,30.1,0.0,0.0,0.0,25.0,25.0,50.0,25.0,50.0,54.3,57.1,0.43,-0.43
