player_id,nombre,minutos,tirador_lejano_pts,tirador_lejano_medalla,cabeceador_pts,cabeceador_medalla,recuperador_puro_pts,recuperador_puro_medalla,presionador_alto_pts,presionador_alto_medalla,definidor_pts,definidor_medalla,creador_pts,creador_medalla,desequilibrante_pts,desequilibrante_medalla,muro_pts,muro_medalla,motor_pts,motor_medalla,goles,pases_clave,regates_exitosos,aereos_ganados,tiros_fuera,goles_fuera,acierto_fuera_pct,goles_cabeza,aereos_pct,aereos_total,recuperaciones_total,recuperaciones_baja,recuperaciones_alto
2irmtezvvd4kor9lb2i1ozv85,L. Cangá,3095,0,,47,BRONCE,13,,0,,10,,0,,0,,27,,0,,3,8,4,54,3,0,0.0,2,55.1,98,167,156,2
761k8s99jzo18hn2zhlqxdxp1,W. Clar,3391,13,,0,,20,,0,,63,PLATA,73,PLATA,70,PLATA,47,BRONCE,0,,8,59,36,49,11,0,0.0,0,52.1,94,114,97,5
19fyx6w0142s810m57zt01xp1,Luciano Castán,0,0,,40,BRONCE,0,,0,,0,,0,,0,,60,PLATA,0,,0,11,6,99,4,0,0.0,0,67.8,146,123,108,2
5crkqbr6al5c0fwb0boodhxt6,S. Marcich,2186,23,,53,PLATA,33,BRONCE,20,,0,,40,BRONCE,87,ORO,60,PLATA,50,PLATA,1,28,30,64,14,0,0.0,1,68.1,94,110,86,7
6m4vkz3isjojszbkqn7tt6l0p,S. Valdéz,2040,0,,30,BRONCE,50,PLATA,20,,0,,0,,43,BRONCE,60,PLATA,60,PLATA,0,8,17,66,2,0,0.0,0,63.5,104,217,202,2
5rbwfptw4c4n6sjqc3b247y6t,Marcelo Hermes,1858,37,BRONCE,13,,23,,10,,10,,87,ORO,10,,27,,43,BRONCE,4,51,9,35,20,2,10.0,1,48.6,72,126,100,9
d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,1501,23,,20,,47,BRONCE,30,BRONCE,0,,53,PLATA,37,BRONCE,47,BRONCE,67,PLATA,2,28,22,36,9,1,11.1,0,69.2,52,117,95,7
72pvwj4z6j8xwsgs6zlhr5e6s,N. Deossa,1215,40,BRONCE,20,,37,BRONCE,90,ORO,20,,80,ORO,100,ORO,37,BRONCE,80,ORO,7,40,86,44,61,6,9.8,0,57.9,76,177,101,22
35fvjkn05x6cr2kx3yiif1jop,Artur,2858,23,,0,,23,,10,,0,,0,,33,BRONCE,0,,23,,1,9,20,13,10,1,10.0,0,44.8,29,179,123,8
510bl9fm7x9k4fpql6tumaej8,Cauan Barros,1399,27,,67,PLATA,47,BRONCE,33,BRONCE,10,,20,,47,BRONCE,60,PLATA,67,PLATA,4,17,22,78,23,1,4.3,2,63.4,123,139,101,9
